latest_burned_block,sender_address,total_burned
24584918,0x79d1d9bc68887e5a202e0b465227e36dd982bd6c,1646398812227623
24582068,0x47d422fcd0a07267ec6a313209f0bcc001ef511c,26732949963025
24578111,0x90fe6711e3c6d9e505f8baeab3a1e9af8cb1bf21,2244898650499660
24579168,0x8dbabc10c584131bca118115dc6eb73914c89c34,23058233546660
24579092,0x20dcfc36c572c95323423c691c6c7c0e2cd9bb95,27873201423867
24585399,0xc927203a5a0b048171857624629f47f24bcc48b6,533218306523530
24581217,0x8c9256d48029b36af7a5e3340f3e828e0054de45,1000000000000000
24580451,0xacefda8d0ae620a54b2f6f60259ba50e023f7b24,5359565326374597
24579243,0x199cf603c2f60677c17194331010c51bea71b33e,27684693663690
24579975,0x57de99e9d151398ebb827421f777c707a1226edf,2573560459160157
24579983,0x10507388339b5a3f37146c46ac82cd31f39c900b,54830047498791
24584153,0xa45da48d0a108593e6e54849618103a4b94dc4e2,1153930022076409
24579182,0x46644842de73a3ed1fdec851a7de4fa463eb21ec,9349940247318
24583833,0x0753079190dc6560d36e21bf5171e29738c18f07,36738672211332
24580636,0x72aef8a600f5d194993a14476e2d90df31689a76,102224290715856
24581871,0x9c54a0cba7aeb5d84020b02bdc8c3ae5ff65dd8e,389646763200730
24584231,0xed06dd7e4f31364fe62476b0c2d8c17a46b840b0,1622616956033470
24585613,0x6d77fd16200168f1858c7962631c672c06b88dce,772826811460
24579005,0x4b3b0a6c0bacb088b6b0b0ba31bab77282068117,2906201838336122
24583600,0xe584ba1f5085183e87ddb43848a6098ab2d1673a,4452406456213750
24584726,0xe5109ce6733b82b6a438381f5129ac2feab1ce42,349321010652549
24579476,0x75e7702bc91afb60150ad1fa79b8050789f5087c,154705903071892
24583217,0x8fb768bbff9472cdd7cb020fcd6c444cc604c366,95615030765245
24578986,0xca11c106fc3911019edd2b509add0d8bd30af8f4,2653091796046046
24580084,0xb4b97c151d23b61f997d3f11d0b9cc693eea28c5,62497153160711
24586554,0xcfb0bfa4810346cab59e01089ece2713aee60d59,1615471874435679
24579030,0x8b98a2b443cec1073026ae00043ec828f1e48ae5,1209569476951
24585043,0x8b6b7e45a6b22c6e52eda1ed480e6386ff5cabb1,112300000000000
24583111,0xdde0c86401b4ae5afdd0765c9f009a1c03a931c4,54621260757118
24584182,0x6e5c6d240355417d6031968dfe9f237179d493d9,1161800092955150
24579269,0x41e89dccfcd4abd4e187e7c88fc2a8844e1d2462,4261869970214
24581877,0xbf36de73cea432eed58bbf3d45c6c56f621c04c8,311110400891442
24580480,0x211e8c1b6cb5a0162a95e07a3bf173f954e76af2,100000000000000
24584285,0xb444692c5f6c8b4ef271c027cc0b608fecd3a575,500000000000000
24580972,0x1cdeaf46bede7252ee3bde7d7d9d07cb2338551f,18788601737257
24583212,0x6a30b26130d38751b6b6b73c836161176e38760c,9909114621019
24586321,0x538527f3602acad78596f17b422fcf5613af1409,68016131000000
24583791,0xfe5b2ab47c94edd1e61738c96e29718dbb7d8f5b,14682268756033
24580013,0xf3f8c895707801dff547ed68c23261ceaf3e2f49,186710949843887
24580220,0xf0142fecd89e3f5d50ae8f0f5d04cadcdf62bddd,142204810104112
24579361,0x1405d7e44400824de19b24c6333d0dfa2f241774,114207855156626
24584642,0x2d07965172ea2c7574371fd6f848363ec15b36ed,93219018807306
24580446,0x29e6c5d260e4b800e5a2226afbfca66568310da7,256591452139242
24579190,0xf3b9addede3f9be35c62e6e4c78db6372bae80e3,344588828042605
24586506,0xb36fecff4b3608a6f642fb200ae9e3639943610d,290087582146801
24583456,0xef20a2c9fbed7e47e55d596b107c3ba25ca25df2,29249289061077
24579927,0xa05aedbb0c614e512d417fd8693c95f988159826,2276830737850992
24585477,0x34852016eca9f04373c9c98b72dbc00a75770104,1213941832295520
24578945,0x15c3da0697f4e1508eb7f497860e3d2e19e3dd4a,169428857719951
24581907,0xdaf8cc464cb337f1f9ca44331d602ee3a1cc9ca9,1190332571629332
24578987,0xbe821f03701a98c2f3fe900b5c0753802f9fa4de,260747393100000
24582719,0xcb927731f27898b30ad85964f9c5b784772cb924,9878445965218467
24579224,0x512c579153ac6fd961a7d9e7b19281b855aafbe1,918286389668807
24578897,0x29e80b2a0325e6c6eea4bcd2e8df0cf7b46063b9,169299113589082
24582093,0x47483b2b58a41059127deeb4faf9ce3dc3d215d6,31197747754337
24585801,0x55c880de4d2a5c60b97b7e5a03d5d7a401578aed,1027165073381235
24581547,0xa8f9a6138df799b9ff28ae5c4f9c4e722181fd2e,1876986336823972
24584876,0xf485c8c82f29c807c212355cc1e0ae7080d3f8c3,252595600
24583090,0x5ae12fb098890b4da018dac646501f3aa1772853,5719735548637
24581229,0xa496a61b864493d096a0ae5f531c2cd8d7687ce7,1525272448236361
24586099,0x17b7b52067dad0f084c26ff347a47b4394a65097,9361199922697033
24579860,0xad155c939d8d745dd488567b18369c13cdd841f4,5387169576179909
24586555,0xe2d9c8a247c6bf98e56bbd82b5b293e6a15bbe39,2361249767968
24579173,0xa1fb7fa7d0aa54b9f0d2e88599387976bc1fdea1,151885273901447
24584184,0xa6adb403392ff70a0ef71a928a2b45da8b9d661c,18069910144305
24578959,0xee3b64210adb28638d5686c3ceef1b41416cf046,191097497475132
